Seq ID,Vegetation zone,longitude,Location,Sample ID,Lat,Long
HOOC0001,Mangrove Forest,BAIK,Badagry,HBG 1,3.003333333,6.467555556
HOOC0002,Mangrove Forest,BAIK,Ikorodu,HIK3,3.487277778,6.62775
HOOC0003,Mangrove Forest,EIBSI,Epe,HEP6,3.9785,6.578833333
HOOC0004,Rainforest,EIBSI,Ibadan,HIB 9,3.899638889,7.441805556
HOOC0005,Rainforest,ADIF,Ifetedo,H IF 1,4.696333333,7.202638889
HOOC0006,Derived savanna,EIBSI,Iwo,HIW3,4.120611111,7.585138889
HOOC0007,Derived savanna,ADIF,Ado,H AD 5,5.216555556,7.599083333
HOOC0008,Derived savanna,EIBSI,Soku,HSK9,3.746055556,7.8995
HOOC0009,Mangrove Forest,BAIK,Badagry,HBG 2,3.003333333,6.467555556
HOOC0010,Mangrove Forest,BAIK,Ikorodu,HIK5,3.487277778,6.62775
HOOC0011,Mangrove Forest,EIBSI,Epe,HEP7,3.9785,6.578833333
HOOC0012,Rainforest,EIBSI,Ibadan,HIB 10,3.899638889,7.441805556
HOOC0013,Rainforest,ADIF,Ifetedo,H IF 2,4.696333333,7.202638889
HOOC0014,Derived savanna,EIBSI,Iwo,HIW4,4.120611111,7.585138889
HOOC0015,Derived savanna,ADIF,Ado,H AD 6,5.216555556,7.599083333
HOOC0016,Derived savanna,EIBSI,Soku,HSK10,3.746055556,7.8995
HOOC0017,Mangrove Forest,BAIK,Badagry,HBG3,3.003333333,6.467555556
HOOC0018,Mangrove Forest,BAIK,Ikorodu,HIK6,3.487277778,6.62775
HOOC0019,Mangrove Forest,EIBSI,Epe,HEP8,3.9785,6.578833333
HOOC0020,Rainforest,BAIK,Abeokuta,HAB1,3.326138889,7.157472222
HOOC0021,Rainforest,ADIF,Ifetedo,H IF 3,4.696333333,7.202638889
HOOC0022,Derived savanna,EIBSI,Iwo,HIW5,4.120611111,7.585138889
HOOC0023,Derived savanna,ADIF,Ado,H AD 7,5.216555556,7.599083333
HOOC0025,Mangrove Forest,BAIK,Badagry,HBG4,3.003333333,6.467555556
HOOC0026,Mangrove Forest,BAIK,Ikorodu,HIK7,3.487277778,6.62775
HOOC0027,Mangrove Forest,EIBSI,Epe,HEP9,3.9785,6.578833333
HOOC0028,Rainforest,BAIK,Abeokuta,HAB2,3.326138889,7.157472222
HOOC0029,Rainforest,ADIF,Ifetedo,H IF 4,4.696333333,7.202638889
HOOC0030,Derived savanna,EIBSI,Iwo,HIW6,4.120611111,7.585138889
HOOC0031,Derived savanna,ADIF,Ado,H AD 8,5.216555556,7.599083333
HOOC0032,Giunea savanna,EIBSI,Igbeti,HIG2,4.154805556,8.728861111
HOOC0033,Mangrove Forest,BAIK,Badagry,HBG5,3.003333333,6.467555556
HOOC0034,Mangrove Forest,BAIK,Ikorodu,HIK8,3.487277778,6.62775
HOOC0035,Mangrove Forest,EIBSI,Epe,HEP10,3.9785,6.578833333
HOOC0036,Rainforest,BAIK,Abeokuta,HAB3,3.326138889,7.157472222
HOOC0037,Rainforest,ADIF,Ifetedo,H IF 5,4.696333333,7.202638889
HOOC0038,Derived savanna,EIBSI,Iwo,HIW7,4.120611111,7.585138889
HOOC0040,Giunea savanna,EIBSI,Igbeti,HIG3,4.154805556,8.728861111
HOOC0041,Mangrove Forest,BAIK,Badagry,HBG6,3.003333333,6.467555556
HOOC0042,Mangrove Forest,BAIK,Ikorodu,HIK9,3.487277778,6.62775
HOOC0043,Rainforest,EIBSI,Ibadan,HIB 1,3.899638889,7.441805556
HOOC0044,Rainforest,BAIK,Abeokuta,HAB4,3.326138889,7.157472222
HOOC0045,Rainforest,ADIF,Ifetedo,H IF 6,4.696333333,7.202638889
HOOC0046,Derived savanna,EIBSI,Iwo,HIW8,4.120611111,7.585138889
HOOC0048,Giunea savanna,EIBSI,Igbeti,HIG4 ,4.154805556,8.728861111
HOOC0049,Mangrove Forest,BAIK,Badagry,HBG7,3.003333333,6.467555556
HOOC0050,Mangrove Forest,BAIK,Ikorodu,HlK10,3.487277778,6.62775
HOOC0051,Rainforest,EIBSI,Ibadan,HIB 2,3.899638889,7.441805556
HOOC0052,Rainforest,BAIK,Abeokuta,HAB5,3.326138889,7.157472222
HOOC0053,Rainforest,ADIF,Ifetedo,H IF 7,4.696333333,7.202638889
HOOC0054,Derived savanna,EIBSI,Iwo,HIW9,4.120611111,7.585138889
HOOC0055,Derived savanna,EIBSI,Soku,HSK3,3.746055556,7.8995
HOOC0056,Giunea savanna,EIBSI,Igbeti,HIG5 ,4.154805556,8.728861111
HOOC0057,Mangrove Forest,BAIK,Badagry,HBG8,3.003333333,6.467555556
HOOC0058,Mangrove Forest,EIBSI,Epe,HEP1,3.9785,6.578833333
HOOC0059,Rainforest,EIBSI,Ibadan,HIB 3,3.899638889,7.441805556
HOOC0060,Rainforest,BAIK,Abeokuta,HAB6,3.326138889,7.157472222
HOOC0061,Rainforest,ADIF,Ifetedo,H IF 8,4.696333333,7.202638889
HOOC0062,Derived savanna,EIBSI,Iwo,HIW10 ,4.120611111,7.585138889
HOOC0063,Derived savanna,EIBSI,Soku,HSK4,3.746055556,7.8995
HOOC0064,Giunea savanna,EIBSI,Igbeti,HIG6 ,4.154805556,8.728861111
HOOC0065,Mangrove Forest,BAIK,Badagry,HBG9,3.003333333,6.467555556
HOOC0066,Mangrove Forest,EIBSI,Epe,HEP2,3.9785,6.578833333
HOOC0067,Rainforest,EIBSI,Ibadan,HIB 4,3.899638889,7.441805556
HOOC0068,Rainforest,BAIK,Abeokuta,HAB7,3.326138889,7.157472222
HOOC0069,Rainforest,ADIF,Ifetedo,H IF 9,4.696333333,7.202638889
HOOC0070,Derived savanna,ADIF,Ado,H AD 1,5.216555556,7.599083333
HOOC0071,Derived savanna,EIBSI,Soku,HSK5,3.746055556,7.8995
HOOC0072,Giunea savanna,EIBSI,Igbeti,HIG7,4.154805556,8.728861111
HOOC0073,Mangrove Forest,BAIK,Badagry,HBG10,3.003333333,6.467555556
HOOC0074,Mangrove Forest,EIBSI,Epe,HEP3,3.9785,6.578833333
HOOC0075,Rainforest,EIBSI,Ibadan,HIB 5,3.899638889,7.441805556
HOOC0076,Rainforest,BAIK,Abeokuta,HAB8,3.326138889,7.157472222
HOOC0077,Rainforest,ADIF,Ifetedo,H IF 10,4.696333333,7.202638889
HOOC0078,Derived savanna,ADIF,Ado,H AD 2,5.216555556,7.599083333
HOOC0079,Derived savanna,EIBSI,Soku,HSK6,3.746055556,7.8995
HOOC0080,Giunea savanna,EIBSI,Igbeti,HIG8,4.154805556,8.728861111
HOOC0081,Mangrove Forest,BAIK,Ikorodu,HIK1,3.487277778,6.62775
HOOC0082,Mangrove Forest,EIBSI,Epe,HEP4,3.9785,6.578833333
HOOC0083,Rainforest,EIBSI,Ibadan,HIB 6,3.899638889,7.441805556
HOOC0084,Rainforest,BAIK,Abeokuta,HAB9,3.326138889,7.157472222
HOOC0085,Derived savanna,EIBSI,Iwo,HIW1,4.120611111,7.585138889
HOOC0086,Derived savanna,ADIF,Ado,H AD 3,5.216555556,7.599083333
HOOC0087,Derived savanna,EIBSI,Soku,HSK7,3.746055556,7.8995
HOOC0088,Giunea savanna,EIBSI,Igbeti,HIG9 ,4.154805556,8.728861111
HOOC0089,Mangrove Forest,BAIK,Ikorodu,HIK2,3.487277778,6.62775
HOOC0090,Mangrove Forest,EIBSI,Epe,HEP5,3.9785,6.578833333
HOOC0091,Rainforest,EIBSI,Ibadan,HIB 7,3.899638889,7.441805556
HOOC0092,Rainforest,BAIK,Abeokuta,HAB10,3.326138889,7.157472222
HOOC0093,Derived savanna,EIBSI,Iwo,HIW2,4.120611111,7.585138889
HOOC0094,Derived savanna,ADIF,Ado,H AD 4,5.216555556,7.599083333
HOOC0095,Derived savanna,EIBSI,Soku,HSK8,3.746055556,7.8995
HOOC0096,Giunea savanna,EIBSI,Igbeti,HIG10 ,4.154805556,8.728861111
